32q,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),Eng Displ,# Cyl,Trans in FE Guide (MFR entered for data entered after May 13 2011),City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler? ,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,"Trans, Other",# Gears,Trans Lockup,Trans Creeper Gear,Drive Sys,Drive Desc,Max Ethanol % - Gasoline,Max Biodiesel %,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,Gas Guzzler Exempt (Where Truck = 1975 NHTSA truck definition),Gas Guzzler Exempt Desc (Where Truck = 1975 NHTSA truck definition),2Dr Pass Vol,2Dr Lugg Vol,4Dr Pass Vol,4Dr Lugg Vol,Htchbk Pass Vol,Htchbk Lugg Vol,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,City2 FE (Guide) - Alternative Fuel,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,City2 Unadj FE - Alternative Fuel,Hwy2 Unadj FE - Alternative Fuel,Comb2 Unadj FE - Alternative Fuel,City2 Unrd Adj FE - Alternative Fuel,Hwy2 Unrd Adj FE - Alternative Fuel,Cmb2 Unrd Adj FE - Alternative Fuel, Range2 - Alt Fuel Model Typ Driving Range - Alternative Fuel, Fuel2 Usage - Alternative Fuel, Fuel2 Usage Desc - Alternative Fuel,Fuel2 Unit - Alternative Fuel,Fuel2 Unit Desc - Alternative Fuel,Fuel2 Annual Fuel Cost - Alternative Fuel,Fuel2 EPA Calculated Annual Fuel Cost - Alternative Fuel,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date,EPA FE Label Dataset ID,,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Energy Storage Device Desc,"Energy Storage Device,If Other",# Batteries,Battery Type Desc,"Battery Type, If Other",Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity (kg),Fuel Cell Onboard H2 Capacity (kg),HEV-EV Comments,# Drive Motor Gen,Motor Gen Type Desc,"Motor Gen Type, If Other",Rated Motor Gen Power (kW),Fuel Metering Type 1 Desc,Fuel Metering Type 2 Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Eng Mgmt System (Stop/Start Sys) Code,Eng Mgmt System (Stop/Start Sys) Description,Model Type Desc (MFR entered),Charge Depleting Calc Appr Code,Charge Depleting Calc Appr Desc,Charge Sustaining Calc Appr Code,Charge Sustaining Calc Appr Desc,EPA Calculated Annual Fuel Cost,EPA Calculated Gas Guzzler MPG,MFR Calculated Gas Guzzler MPG ,EPA Calculated Gas Guzzler Indicator (Y or N)
2012,Ford Motor Company,Ford Division,MUSTANG,FMX,27,3.7,6,Auto(A6),19,31,23,24.3799,43.043,30.29,19.3498,30.6176,23.1903,,NA,Naturally Aspirated,A,Automatic,,6,Y,N,R,"2-Wheel Drive, Rear",10,,,G,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,N,Not exempt,83,13,,,,,2414,2414,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,1/18/2011,8524,,N,N,,,N,N,C11-0012-01,N,,Y,Dual Intake & Exhaust,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W20 GF-4,N,No,,,,,,,,30.5,
2012,Ford Motor Company,Ford Division,MUSTANG,FMX,28,3.7,6,Manual(M6),19,29,22,23.4923,40.2249,28.9026,18.6883,28.6921,22.1661,,NA,Naturally Aspirated,M,Manual,,6,N,N,R,"2-Wheel Drive, Rear",10,,,G,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,N,Not exempt,83,13,,,,,2525,2525,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,1/18/2011,8953,,N,N,,,N,N,C11-0012-01,N,,Y,Dual Intake & Exhaust,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W20 GF-4,N,No,,,,,,,,29.1,
2012,Ford Motor Company,Ford Division,MUSTANG,FMX,25,5.0,8,Auto(A6),18,25,20,22.087,35.2824,26.5564,17.6346,25.2893,20.4153,,NA,Naturally Aspirated,A,Automatic,,6,Y,N,R,"2-Wheel Drive, Rear",10,,,G,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,N,Not exempt,83,13,,,,,2775,2775,,,,,,,,,,,,,,,,,,2,1,3,Subcompact Cars,car,Derived 5-cycle label,10/18/2011,8952,,N,N,,,N,N,,N,,Y,"Y-CAM Torque actuated, computer controlled",N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W20 635A/ GF5,N,No,,,,,,,,26.7,
2012,Ford Motor Company,Ford Division,MUSTANG,FMX,26,5.0,8,Manual(M6),17,26,20,21.5,36.2,26.3073,17.1922,25.9236,20.2634,,NA,Naturally Aspirated,M,Manual,,6,N,N,R,"2-Wheel Drive, Rear",10,,,G,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,N,Not exempt,83,13,,,,,2775,2775,,,,,,,,,,,,,,,,,,2,1,3,Subcompact Cars,car,Derived 5-cycle label,1/18/2011,8521,,N,N,,,N,N,,N,,Y,"Y-CAM Torque actuated, computer controlled",N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W20 635A/ GF5,N,No,,,,,,,,26.5,
2012,Ford Motor Company,Ford Division,MUSTANG,FMX,24,5.4,8,Manual(M6),15,23,17,18.1791,31.7944,22.5185,14.6636,22.8679,17.4868,,SC,Supercharged,M,Manual,,6,N,N,R,"2-Wheel Drive, Rear",10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,83,13,,,,,3484,3484,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,1/18/2011,8522,,N,N,,,N,N,SuperCharged w/Charge Air Cooler (liquid),N,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W50 / 590A,N,No,,,,,,,,22.7,
2012,Ford Motor Company,Ford Division,MUSTANG CONVERTIBLE,FMX,29,3.7,6,Auto(A6),19,30,23,24.1809,41.4119,29.7516,19.2018,29.5044,22.7816,,NA,Naturally Aspirated,A,Automatic,,6,Y,N,R,"2-Wheel Drive, Rear",10,,,G,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,N,Not exempt,81,9,,,,,2414,2414,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,1/18/2011,8954,,Y,N,,,N,N,C11-0012-01,N,,Y,Dual Intake & Exhaust,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W20 GF-4,N,No,,,,,,,,30,
2012,Hyundai,HYUNDAI MOTOR COMPANY,GENESIS COUPE,HYX,18,2.0,4,Auto(A5),20,30,23,24.8964,41.5484,30.3746,19.7334,29.5977,23.2151,,TC,Turbocharged,A,Automatic,,5,Y,N,R,"2-Wheel Drive, Rear",10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,89,10,,,,,2577,2577,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,6/24/2011,7921,,N,N,,,N,N,,N,,Y,Apply VVT,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W30 ACEA A5,N,No,,,,,,,,30.6,
2012,Hyundai,HYUNDAI MOTOR COMPANY,GENESIS COUPE,HYX,19,2.0,4,Manual(M6),21,30,24,26.1,42.2,31.5097,20.6233,30.0427,24.011,,TC,Turbocharged,M,Manual,,6,N,N,R,"2-Wheel Drive, Rear",10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,89,10,,,,,2471,2471,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,6/24/2011,7922,,N,N,,,N,N,,N,,Y,Apply VVT,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W30 ACEA A5,N,No,,,,,,,,31.7,
2012,Hyundai,HYUNDAI MOTOR COMPANY,GENESIS COUPE,HYX,20,3.8,6,Auto(A6),17,27,20,21.3358,37.8229,26.5422,17.0682,27.0425,20.4649,,NA,Naturally Aspirated,A,Automatic,,6,Y,N,R,"2-Wheel Drive, Rear",10,,,G,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,N,Not exempt,89,10,,,,,2775,2775,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,6/24/2011,7923,,N,N,,,N,N,,N,,Y,APPLY VVT,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W-20 GF4,N,No,,,,,,,,26.7,
2012,Hyundai,HYUNDAI MOTOR COMPANY,GENESIS COUPE,HYX,21,3.8,6,Manual(M6),17,26,20,21.7,36.4,26.5194,17.3431,26.0617,20.4166,,NA,Naturally Aspirated,M,Manual,,6,N,N,R,"2-Wheel Drive, Rear",10,,,G,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,N,Not exempt,89,10,,,,,2775,2775,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,6/24/2011,7924,,N,N,,,N,N,,N,,Y,APPLY VVT,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W-20 GF4,N,No,,,,,,,,26.7,
2012,Nissan,INFINITI,G37 CONVERTIBLE,NSX,54,3.7,6,Auto(S7),17,25,20,21.6506,35.2023,26.1871,17.3058,25.2339,20.1554,,NA,Naturally Aspirated,SA,Semi-Automatic,,7,Y,N,R,"2-Wheel Drive, Rear",10,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,78,10,,,,,2962,2962,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,9/15/2011,8520,,N,,,,N,N,for G37 CONVERTIBLE,N,,Y,"ECM controlled, oil pressure driven",Y,VVEL controlled Moter Driven,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W-30,N,No,,,,,,,,26.4,
2012,Nissan,INFINITI,G37 CONVERTIBLE,NSX,55,3.7,6,Manual(M6),16,24,19,20.2,32.9,24.4466,16.2076,23.6373,18.8778,,NA,Naturally Aspirated,M,Manual,,6,N,N,R,"2-Wheel Drive, Rear",10,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,78,10,,,,,3117,3117,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,9/15/2011,8519,,N,,,,N,N,for G37 CONVERTIBLE,N,,Y,"ECM controlled, oil pressure driven",Y,VVEL controlled Moter Driven,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W-30,N,No,,,,,,,,24.6,
2012,Nissan,INFINITI,G37 COUPE,NSX,73,3.7,6,Auto(S7),19,27,22,23.7284,37.1107,28.3247,18.8645,26.5519,21.6905,,NA,Naturally Aspirated,SA,Semi-Automatic,,7,Y,N,R,"2-Wheel Drive, Rear",10,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,85,7,,,,,2696,2696,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,9/15/2011,8515,,N,,,,N,N,"for M37,G37 COUPE and G37x COUPE",N,,Y,"ECM controlled, oil pressure driven",Y,VVEL controlled Moter Driven,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W-30,N,No,,,,,,,,28.5,
2012,Nissan,INFINITI,G37 COUPE,NSX,72,3.7,6,Manual(M6),17,25,19,20.5856,34.6965,25.197,16.5003,24.8838,19.4489,,NA,Naturally Aspirated,M,Manual,,6,N,N,R,"2-Wheel Drive, Rear",10,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,85,7,,,,,3117,3117,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,9/15/2011,8512,,N,,,,N,N,"for M37,G37 COUPE and G37x COUPE",N,,Y,"ECM controlled, oil pressure driven",Y,VVEL controlled Moter Driven,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W-30,N,No,,,,,,,,25.4,
2012,Nissan,INFINITI,G37x COUPE,NSX,74,3.7,6,Auto(S7),18,25,20,22.2271,35.1729,26.6393,17.74,25.2136,20.4705,,NA,Naturally Aspirated,SA,Semi-Automatic,,7,Y,N,A,All Wheel Drive,10,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,85,7,,,,,2962,2962,,,,,,,,,,,,,,,,,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,9/15/2011,8513,,N,,,,N,N,"for M37,G37 COUPE and G37x COUPE",N,,Y,"ECM controlled, oil pressure driven",Y,VVEL controlled Moter Driven,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,5W-30,N,No,,,,,,,,26.8,
2012,Toyota,LEXUS,IS 250 AWD,TYX,25,2.5,6,Auto(S6),20,27,22,24.7899,37.1903,29.1661,19.6544,26.6068,22.2734,,NA,Naturally Aspirated,SA,Semi-Automatic,,6,Y,N,A,All Wheel Drive,10,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,,,88,11,,,2696,2696,,,,,,,,,,,,,,,,,SIDI; ,2,2,3,Subcompact Cars,car,Derived 5-cycle label,9/1/2011,7840,,N,N,,,N,N,,N,,Y,Intake and exhaust,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W-20,N,No,,,,,,,,29.4,
2012,Toyota,LEXUS,IS 250/IS 250C,TYX,27,2.5,6,Auto(S6),21,30,25,27.0457,42.0981,32.2318,21.3186,29.9732,24.5023,,NA,Naturally Aspirated,SA,Semi-Automatic,,6,Y,N,R,"2-Wheel Drive, Rear",10,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,77,11,88,11,,,2370,2370,,,,,,,,,,,,,,,,,SIDI; ,2,2,3,Subcompact Cars,car,Derived 5-cycle label,9/1/2011,7838,,N,N,,,N,N,,N,,Y,Intake and exhaust,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W-20,N,No,,,,,,,,32.6,
2012,Toyota,LEXUS,IS 250/IS 250C,TYX,26,2.5,6,Manual(M6),19,28,22,23.5531,38.9029,28.6379,18.7337,27.7852,21.9517,,NA,Naturally Aspirated,M,Manual,,6,N,N,R,"2-Wheel Drive, Rear",10,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,77,11,88,11,,,2696,2696,,,,,,,,,,,,,,,,,SIDI; ,2,2,3,Subcompact Cars,car,Derived 5-cycle label,9/1/2011,7839,,N,N,,,N,N,,N,,Y,Intake and exhaust,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W-20,N,No,,,,,,,,29,
